true_class,predicted_class,count
Japanese Chin,Keeshond,2
Birman,Basset Hound,2
Birman,Abyssinian,2
Bengal,Yorkshire Terrier,2
Bengal,Siamese,2
Bengal,Saint Bernard,2
Bengal,Pug,2
Japanese Chin,English Cocker Spaniel,2
Japanese Chin,Boxer,2
Japanese Chin,Birman,2
Japanese Chin,Wheaten Terrier,2
Staffordshire Bull Terrier,Scottish Terrier,2
Staffordshire Bull Terrier,Saint Bernard,2
Scottish Terrier,American Pit Bull Terrier,2
Scottish Terrier,American Bulldog,2
Samoyed,Wheaten Terrier,2
Samoyed,Saint Bernard,2
Samoyed,Maine Coon,2
Havanese,Yorkshire Terrier,2
Havanese,Staffordshire Bull Terrier,2
Havanese,Sphynx,2
Havanese,Siamese,2
Havanese,Scottish Terrier,2
Havanese,Samoyed,2
Bengal,Newfoundland,2
Bengal,Havanese,2
Bengal,Chihuahua,2
Beagle,Wheaten Terrier,2
Japanese Chin,Pomeranian,2
Samoyed,British Shorthair,2
Samoyed,Birman,2
Samoyed,Beagle,2
Samoyed,Abyssinian,2
Staffordshire Bull Terrier,Maine Coon,2
Staffordshire Bull Terrier,Japanese Chin,2
Staffordshire Bull Terrier,English Setter,2
Scottish Terrier,Birman,2
Great Pyrenees,Pomeranian,2
Great Pyrenees,Birman,2
Great Pyrenees,Bengal,2
Havanese,German Shorthaired,2
Havanese,British Shorthair,2
Keeshond,Pug,2
Keeshond,Great Pyrenees,2
Leonberger,Basset Hound,2
Leonberger,American Bulldog,2
Keeshond,Yorkshire Terrier,2
Beagle,English Cocker Spaniel,2
Wheaten Terrier,British Shorthair,2
Wheaten Terrier,Boxer,2
Wheaten Terrier,Bengal,2
Wheaten Terrier,Basset Hound,2
Staffordshire Bull Terrier,Wheaten Terrier,2
Staffordshire Bull Terrier,Siamese,2
Keeshond,Scottish Terrier,2
Keeshond,Samoyed,2
Saint Bernard,English Setter,2
Scottish Terrier,Keeshond,2
Scottish Terrier,Havanese,2
Scottish Terrier,Great Pyrenees,2
Scottish Terrier,German Shorthaired,2
Scottish Terrier,English Cocker Spaniel,2
Birman,Egyptian Mau,2
Birman,Chihuahua,2
Staffordshire Bull Terrier,Pug,2
Staffordshire Bull Terrier,Pomeranian,2
Staffordshire Bull Terrier,Newfoundland,2
Leonberger,Miniature Pinscher,2
Leonberger,Maine Coon,2
Maine Coon,Chihuahua,2
Maine Coon,Birman,2
Maine Coon,American Pit Bull Terrier,2
Maine Coon,American Bulldog,2
Beagle,Abyssinian,2
Basset Hound,Ragdoll,2
Basset Hound,Pug,2
Basset Hound,Maine Coon,2
Scottish Terrier,Saint Bernard,2
German Shorthaired,Chihuahua,2
German Shorthaired,Bengal,2
German Shorthaired,Beagle,2
German Shorthaired,Abyssinian,2
German Shorthaired,Wheaten Terrier,2
German Shorthaired,Russian Blue,2
German Shorthaired,Pug,2
German Shorthaired,Maine Coon,2
Beagle,Maine Coon,2
Russian Blue,Yorkshire Terrier,2
Russian Blue,Newfoundland,2
